iter	Passed	Remaining
0	1	120
1	2	122
2	3	122
3	4	119
4	6	117
5	7	115
6	8	112
7	9	113
8	10	110
9	12	110
10	13	109
11	14	107
12	15	106
13	17	105
14	18	103
15	19	102
16	20	101
17	22	100
18	23	99
19	24	98
20	25	96
21	26	95
22	28	94
23	29	92
24	30	91
25	31	90
26	32	89
27	34	87
28	35	86
29	36	84
30	37	83
31	38	82
32	40	81
33	41	80
34	42	78
35	43	77
36	44	75
37	45	73
38	46	72
39	47	70
40	47	69
41	48	67
42	49	65
43	50	64
44	51	62
45	52	61
46	52	59
47	53	57
48	54	56
49	55	55
50	56	53
51	56	52
52	57	51
53	58	49
54	59	48
55	60	47
56	61	46
57	61	44
58	62	43
59	63	42
60	64	41
61	65	39
62	66	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	32
68	70	31
69	71	30
70	72	29
71	73	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	77	21
78	78	20
79	79	19
80	80	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	86	10
89	87	9
90	88	8
91	89	7
92	89	6
93	90	5
94	91	4
95	92	3
96	92	2
97	93	1
98	94	0
99	95	0
